question_id,question_text,ideal_answer,keywords_main,keywords_optional,marks,Topics
Q1,What is an operating system?,An operating system is system software that manages computer hardware and provides services for application programs.,system software|manages hardware|services for applications,memory management|process management|resource management,2,Operating Systems
Q2,Define 'Data' in ICT.,Data implies raw facts and figures which have no specific meaning until processed.,raw facts figures | no specific meaning,unprocessed | text numbers,,Concepts of ICT
Q3,Define 'Information'.,Information is processed data that conveys a specific meaning and is useful for decision making.,processed data | conveys meaning | decision making,meaningful | context,,Concepts of ICT
Q4,What is the 'Von Neumann Architecture'?,"It is a computer architecture design that consists of a Processing Unit, Control Unit, Memory, Input/Output mechanisms, and a bus system.",Processing Unit |Control Unit | Memory | Input Output,stored program concept | CPU,,Building Blocks of IS
Q5,What is a 'Volatile Memory'?,"Volatile memory is computer storage that only maintains its data while the device is powered (e.g., RAM).",maintains data while powered | loses data no power,RAM | temporary storage,,Building Blocks of IS
Q6,Convert the binary number 1010 to decimal.,The binary number 1010 is equal to 10 in decimal (8 + 0 + 2 + 0).,10,decimal conversion | binary,,Data Representation
Q7,What is 'Two's Complement'?,It is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations.,represent signed integers | simplify subtraction,binary arithmetic | negative numbers,,Data Representation
Q8,What is 'Unicode'?,"Unicode is a computing industry standard for the consistent encoding, representation, and handling of text expressed in most of the world's writing systems.",encoding standard | world's writing systems,text representation | UTF-8,,Data Representation
Q9,What is a 'Truth Table' in Logic Gates?,A truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations.,mathematical table | input combinations | logical expressions,logic gates | output values,,Building Blocks of IS
Q10,Describe the function of an 'AND' gate.,An AND gate produces a HIGH output (1) only if all its inputs are HIGH (1).,HIGH output if all inputs HIGH | logic 1,multiplication | logic gate,,Building Blocks of IS
Q11,What is a 'Flip-Flop' in digital circuits?,A flip-flop is a circuit that has two stable states and can be used to store state information (a single bit of data).,two stable states | store state information,memory element | sequential logic,,Building Blocks of IS
Q12,What is an 'Operating System' (OS)?,"An OS is system software that manages computer hardware, software resources, and provides common services for computer programs.",system software |  manages hardware software | common services,interface | resource management,,Operating Systems
