question,label,correct_answer,option_2,option_3,option_4,option_5,
A village of houses constructed mainly with the aid of a special equipment is nearing completion in the United States of America. This equipment has been used to construct the walls of the houses with the foundations and the roofs constructed in the traditional way. This equipment reduces the number of workers required for the construction process and has made the process faster and cheaper with minimized construction waste. What could be this special equipment?,,a large 3D printer,a digitizer,a plotter, a pointing device,a joystick,
A person notes that a desktop computer was booting very fast from the hard disk after the computer was repaired. Which of the following would have been done during the repair?,, replacing the hard disk with a Solid-state Drive (SSD) and reinstalling the operating system,decreasing RAM and reinstalling the operating system,formatting the hard disk only,installing a new CD drive only,replacing the small fan inside the computer only,
What is the correct binary equivalent of decimal 14.2510?,,1110.01,1001.1,1010.11,1011.01,1111.1,
What is the correct decimal equivalent of octal 1208?,,136,10,17,80,640,
Which of the following are correct?                     I : EB716 = 1110 1011 01112  II : 8410 = 10101002             III : 7538 = 10010112,,I and III only,I only,I and II only,II and III only,"All I, II and III",
110012 + 100012 =,,1010112,1010102,1011002,1110012,1110102,
The decimal number equivalent to 1101102 is,,54,39,48,55,108,
Which of the following are correct regarding the Process Control Block (PCB)?  A-It is a data structure used by the operating system to manage information about a process.   B-It is created during the compilation of a program.  C-The Program Counter values of two PCBs can be the same.,,A only  ,A and B only, A and C only,B and C only,"All A, B and C",
"Amara switches on a multi-user computer system. After it has booted, Sama logs on to the computer from a terminal and starts a web browser. After sometime, Sama starts a text editor also to work on her Python program. Then Rani also logs on to the computer from another terminal and starts a web browser. Which of the following are possible execution sequences on the processor of this computer? ",,BIOS ? OS ? Sama's web browser process ? OS ? Sama's text editor process ? OS ? Rani's web browser process ? OS ? Sama's text editor process ? ... ,) BIOS ? OS ? Sama's web browser process ? Sama's text editor process ? OS ? Rani's web browser process ? OS ? Sama's web browser process ? ... ,BIOS ? Sama's web browser process ? Sama's text editor process ? OS ? Rani's web browser process ? OS ? Sama's text editor process ? ,) OS ? BIOS ? Sama's web browser process ? OS ? Sama's text editor process ? OS ? Rani's web browser process ? OS ? Sama's web browser process ? …,OS ? BIOS ? Sama's web browser process ? Sama's text editor process ? OS ? Rani's web browser process ? OS ? Sama's web browser process ? …,
"Each block of a disk is 512 bytes. When a file of size 1959 bytes is stored on that disk, how many bytes allocated to the file would be wasted?",,89,423,512,601,1447,
11. Which of the following is correct regarding parity bits?,,The parity bit for a set of bits is selected to ensure the total number of 1-bits in the set is either even or odd. ,The parity bit in a set of bits is adjusted after that set of bits is communicated.,The transmission speed of a communication is increased by parity bits. ,Parity bits are added after a communication to correct errors.,Encryption needed in a data transmission is provided by parity bits,
12. What is done by a modem when it receives an analog signal from a PSTN (Public Switched Telephone Network) line?,,It demodulates the signal back into digital form. ,It amplifies the signal for better clarity.,It compresses the signal for storage. ,It encrypts the signal for security. ,It modulates the signal further for transmission.,
13. Which of the following best describes a switch in a network? ,,It directs data only to the specific device for which the data is intended. ,It amplifies data signals for clearer transmission.,It always broadcasts all incoming data to every device in the network.,It compresses data for more efficient transmission.,It stores data for future processing.,
14.How many usable host addresses are available in the 192.168.100.0/27 IP address block? ,,30,16,32,62,64,
15.Which of the following are properties of the Transmission Control Protocol (TCP)?  A – detection and correction of any errors in a communication  B – receiver acknowledging to the sender about the receipt of a data packet  C – ensuring data packets are received in order ,,"All A, B and C  ",A only               ,A and B only                ,A and C only                ,B and C only               ,
